desokod,befolkning_2024,befolkning_65_plus_2024,andel_65_plus_2024,kommunkod,area_km2,befolkning_per_km2_2024,antal_servicenoder
2021A0010,1402,391,0.2788873038516405,2021,842.227,1.665,2
2021A0020,999,331,0.33133133133133136,2021,772.64,1.293,1
2021B2010,2093,580,0.2771141901576684,2021,37.398,55.966,3
2021C1010,2258,571,0.2528786536758193,2021,12.985,173.892,6
2023A0010,1569,561,0.3575525812619503,2023,1811.815,0.866,1
2023A0020,1562,462,0.29577464788732394,2023,1433.084,1.09,4
2023A0030,2191,391,0.17845732542218165,2023,1060.416,2.066,4
2023C1010,1592,513,0.3222361809045226,2023,9.212,172.814,1
2023C1020,1343,365,0.2717795979151154,2023,12.148,110.557,0
2023C1030,1997,540,0.2704056084126189,2023,8.219,242.972,2
2026A0010,1703,542,0.3182618907809748,2026,397.753,4.282,2
2026A0020,1778,427,0.24015748031496062,2026,361.473,4.919,0
2026B2010,2016,500,0.24801587301587302,2026,14.273,141.244,2
2026B3010,1485,395,0.265993265993266,2026,16.731,88.756,2
2026C1010,1877,403,0.21470431539690996,2026,15.861,118.338,0
2026C1020,1525,492,0.3226229508196721,2026,8.097,188.344,3
2029A0010,1482,539,0.36369770580296895,2029,849.942,1.744,0
2029A0020,1631,515,0.3157572041692213,2029,469.367,3.475,0
2029B2010,1631,570,0.3494788473329246,2029,24.788,65.798,2
2029C1010,1110,228,0.20540540540540542,2029,2.861,387.997,2
2029C1020,1134,285,0.25132275132275134,2029,6.935,163.529,0
2029C1030,954,256,0.26834381551362685,2029,12.723,74.981,0
2029C1040,2671,755,0.28266566828903034,2029,14.212,187.945,1
2029C1050,2519,885,0.35132989281460897,2029,16.417,153.434,7
2029C1060,1706,355,0.20808909730363423,2029,4.895,348.545,0
2029C1070,1299,480,0.3695150115473441,2029,42.437,30.61,1
2031A0010,2659,877,0.32982324182023315,2031,1126.542,2.36,2
2031A0020,1077,386,0.3584029712163417,2031,970.722,1.109,2
2031C1010,2207,715,0.32396918894426824,2031,21.377,103.241,1
2031C1020,1896,775,0.40875527426160335,2031,6.672,284.184,5
2031C1030,1820,573,0.3148351648351648,2031,15.482,117.559,2
2031C1040,1339,440,0.3286034353995519,2031,15.109,88.62,1
2034A0010,1280,394,0.3078125,2034,1763.209,0.726,1
2034C1010,1321,391,0.2959878879636639,2034,22.494,58.726,0
2034C1020,1670,509,0.30479041916167665,2034,6.3,265.097,1
2034C1030,1776,466,0.26238738738738737,2034,4.664,380.811,3
2034C1040,804,210,0.26119402985074625,2034,9.919,81.053,0
2039A0010,1895,631,0.3329815303430079,2039,2509.892,0.755,2
2039A0020,905,310,0.3425414364640884,2039,2215.666,0.408,3
2039A0030,1142,328,0.287215411558669,2039,2429.379,0.47,5
2039C1010,2243,601,0.26794471689701294,2039,16.033,139.9,5
2039C1020,697,189,0.27116212338593976,2039,10.653,65.427,0
2061A0010,1612,480,0.2977667493796526,2061,546.838,2.948,0
2061A0020,1582,423,0.26738305941845764,2061,235.028,6.731,0
